Ask Price,Bid Price,Last Trade Closed,Volume Today,Volume Last 24 Hours,Price Today,Price Last 24 Hours,Number of Trades Today,Number of Trades Last 24 Hours,Low Today,Low Last 24 Hours,High Today,High Last 24 Hours,Time
59781.5,59781.4,59777.0,2590.30325881,2676.74033706,59783.03333,59780.83867,31317.0,31955.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:34:10.007441
59781.5,59781.4,59777.0,2590.30325881,2676.74033706,59783.03333,59780.83867,31317.0,31955.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:34:13.189891
59781.5,59781.4,59781.4,2590.30969031,2676.74676856,59783.03332,59780.83867,31318.0,31956.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:34:16.335659
59781.5,59781.4,59781.4,2590.30969031,2676.74676856,59783.03332,59780.83867,31318.0,31956.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:34:19.410695
59781.5,59781.4,59781.4,2590.30969031,2676.74676856,59783.03332,59780.83867,31318.0,31956.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:34:22.474633
59781.5,59781.4,59781.4,2590.30969031,2676.74676856,59783.03332,59780.83867,31318.0,31956.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:34:25.541129
59787.8,59787.7,59781.4,2590.30969031,2676.64676856,59783.03332,59780.84465,31318.0,31953.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:34:28.687064
59787.8,59787.7,59781.4,2590.30969031,2676.26220031,59783.03332,59780.86706,31318.0,31948.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:34:31.853339
59787.8,59787.7,59781.4,2590.30969031,2676.26220031,59783.03332,59780.86706,31318.0,31948.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:34:35.013227
59787.8,59787.7,59781.4,2590.30969031,2676.25842174,59783.03332,59780.86728,31318.0,31947.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:34:38.169003
59787.8,59787.7,59781.4,2590.30969031,2676.22371382,59783.03332,59780.8693,31318.0,31946.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:34:41.315473
59787.8,59787.7,59787.8,2590.31108641,2676.19505353,59783.03333,59780.87106,31319.0,31945.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:34:44.470871
59787.8,59787.7,59787.8,2590.31951791,2676.20348503,59783.03334,59780.87108,31322.0,31948.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:34:47.622879
59787.8,59787.7,59787.8,2590.31951791,2676.20348503,59783.03334,59780.87108,31322.0,31948.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:34:50.782441
59787.8,59787.7,59787.8,2590.31951791,2676.20164049,59783.03334,59780.87119,31322.0,31947.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:34:53.934842
59787.8,59787.7,59787.8,2590.31951791,2676.20164049,59783.03334,59780.87119,31322.0,31947.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:34:57.086418
59787.8,59787.7,59787.8,2590.31951791,2676.20164049,59783.03334,59780.87119,31322.0,31947.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:35:00.153508
59813.4,59813.3,59813.3,2590.32754904,2675.84511654,59783.03343,59780.89252,31324.0,31941.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:35:03.329163
59813.4,59813.3,59813.3,2590.32754904,2675.84511654,59783.03343,59780.89252,31324.0,31941.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:35:06.478368
59813.4,59813.3,59813.3,2590.32754904,2675.84511654,59783.03343,59780.89252,31324.0,31941.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:35:09.626106
59813.4,59813.3,59813.3,2590.32754904,2675.83511654,59783.03343,59780.8931,31324.0,31940.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:35:12.708263
